epoch,train_loss,val_loss,learning_rate,accuracy,precision_micro,recall_micro,f1
1,1.455957799,1.687669825,0.001,0.462993644,0.462993644,0.462993644,0.462993644
2,1.198171409,0.936072734,0.000999753,0.67412718,0.67412718,0.67412718,0.67412718
3,1.058049884,1.108585848,0.000999013,0.631743832,0.631743832,0.631743832,0.631743832
4,0.964000431,0.857062319,0.000997781,0.701930897,0.701930897,0.701930897,0.701930897
5,0.874117409,0.650950641,0.000996057,0.778172726,0.778172726,0.778172726,0.778172726
6,0.811702086,0.555125639,0.000993844,0.811519113,0.811519113,0.811519113,0.811519113
7,0.759157937,0.468772908,0.000991144,0.835195951,0.835195951,0.835195951,0.835195951
8,0.716154883,0.857118212,0.000987958,0.737175046,0.737175046,0.737175046,0.737175046
9,0.664734969,0.620652433,0.000984292,0.797541947,0.797541947,0.797541947,0.797541947
10,0.64737264,0.36622998,0.000980147,0.875169443,0.875169443,0.875169443,0.875169443
11,0.608850348,0.484313221,0.000975528,0.838690243,0.838690243,0.838690243,0.838690243
12,0.599773923,0.629950626,0.00097044,0.804018435,0.804018435,0.804018435,0.804018435
13,0.586464701,0.330090049,0.000964888,0.887760942,0.887760942,0.887760942,0.887760942
14,0.567386629,0.509673494,0.000958877,0.836702112,0.836702112,0.836702112,0.836702112
15,0.553267955,0.313439667,0.000952414,0.892128807,0.892128807,0.892128807,0.892128807
16,0.543748502,0.322068087,0.000945503,0.893845829,0.893845829,0.893845829,0.893845829
17,0.528131189,0.372756594,0.000938153,0.876223755,0.876223755,0.876223755,0.876223755
18,0.518711633,0.308433396,0.000930371,0.895382113,0.895382113,0.895382113,0.895382113
19,0.496048347,0.398438611,0.000922164,0.872729464,0.872729464,0.872729464,0.872729464
20,0.48779568,0.444627216,0.00091354,0.852697533,0.852697533,0.852697533,0.852697533
21,0.488463076,0.285978003,0.000904508,0.903967226,0.903967226,0.903967226,0.903967226
22,0.467619063,0.298035857,0.000895078,0.905142031,0.905142031,0.905142031,0.905142031
23,0.458382237,0.593391393,0.000885257,0.819471639,0.819471639,0.819471639,0.819471639
24,0.437450067,0.40472713,0.000875056,0.881947164,0.881947164,0.881947164,0.881947164
25,0.431379134,0.328228371,0.000864484,0.89459891,0.89459891,0.89459891,0.89459891
26,0.4281353,0.314163716,0.000853553,0.905714372,0.905714372,0.905714372,0.905714372
27,0.419576067,0.453042909,0.000842274,0.865921619,0.865921619,0.865921619,0.865921619
28,0.411583387,0.527014684,0.000830656,0.844745007,0.844745007,0.844745007,0.844745007
29,0.411868521,0.562324234,0.000818712,0.857878724,0.857878724,0.857878724,0.857878724
30,0.412732062,0.321068478,0.000806454,0.906105973,0.906105973,0.906105973,0.906105973
31,0.400935476,0.322701738,0.000793893,0.904268458,0.904268458,0.904268458,0.904268458
32,0.385983066,0.39029156,0.000781042,0.893152996,0.893152996,0.893152996,0.893152996
33,0.397538934,0.334908273,0.000767913,0.903876856,0.903876856,0.903876856,0.903876856
34,0.388449308,0.342446131,0.000754521,0.904780552,0.904780552,0.904780552,0.904780552
35,0.369454941,0.311589282,0.000740877,0.910624454,0.910624454,0.910624454,0.910624454
36,0.375838212,0.328246231,0.000726995,0.910443715,0.910443715,0.910443715,0.910443715
37,0.373912185,0.315924844,0.00071289,0.91312468,0.91312468,0.91312468,0.91312468
38,0.383396079,0.330669222,0.000698574,0.913094557,0.913094557,0.913094557,0.913094557
39,0.370132524,0.341862475,0.000684062,0.909208663,0.909208663,0.909208663,0.909208663
40,0.358236943,0.49549356,0.000669369,0.855348375,0.855348375,0.855348375,0.855348375
41,0.354584441,0.482526885,0.000654508,0.876916589,0.876916589,0.876916589,0.876916589
42,0.347201272,0.342070895,0.000639496,0.912733078,0.912733078,0.912733078,0.912733078
43,0.35308818,0.47580661,0.000624345,0.882308642,0.882308642,0.882308642,0.882308642
44,0.341763237,0.327709839,0.000609072,0.915263427,0.915263427,0.915263427,0.915263427
45,0.333329462,0.353113185,0.000593691,0.917372052,0.917372052,0.917372052,0.917372052
46,0.340492858,0.318331522,0.000578217,0.91622737,0.91622737,0.91622737,0.91622737
47,0.337173233,0.33913402,0.000562667,0.913516282,0.913516282,0.913516282,0.913516282
48,0.337894399,0.326116424,0.000547054,0.916588848,0.916588848,0.916588848,0.916588848
49,0.322814509,0.380116136,0.000531395,0.909570142,0.909570142,0.909570142,0.909570142
50,0.324272028,0.367419877,0.000515705,0.908847185,0.908847185,0.908847185,0.908847185
51,0.334314767,0.394052986,0.0005,0.897822092,0.897822092,0.897822092,0.897822092
52,0.322091152,0.336286216,0.000484295,0.920534988,0.920534988,0.920534988,0.920534988
53,0.317056202,0.366978453,0.000468605,0.919540922,0.919540922,0.919540922,0.919540922
54,0.31493075,0.351054038,0.000452946,0.920263879,0.920263879,0.920263879,0.920263879
55,0.312429759,0.35661711,0.000437333,0.921649547,0.921649547,0.921649547,0.921649547
56,0.331532214,0.391145,0.000421783,0.915715275,0.915715275,0.915715275,0.915715275
57,0.322255415,0.347499731,0.000406309,0.921438684,0.921438684,0.921438684,0.921438684
58,0.318699592,0.354145741,0.000390928,0.920956713,0.920956713,0.920956713,0.920956713
59,0.316800661,0.386482015,0.000375655,0.917251559,0.917251559,0.917251559,0.917251559
60,0.316333011,0.354559529,0.000360504,0.918516733,0.918516733,0.918516733,0.918516733
61,0.296996223,0.378016243,0.000345492,0.922372504,0.922372504,0.922372504,0.922372504
62,0.316886518,0.363618055,0.000330631,0.923577432,0.923577432,0.923577432,0.923577432
63,0.29933631,0.351445219,0.000315938,0.921860409,0.921860409,0.921860409,0.921860409
64,0.316440793,0.362725064,0.000301426,0.921107329,0.921107329,0.921107329,0.921107329
65,0.30037307,0.385921192,0.00028711,0.923246076,0.923246076,0.923246076,0.923246076
66,0.299049464,0.3654612,0.000273005,0.925023345,0.925023345,0.925023345,0.925023345
67,0.307279572,0.38969641,0.000259123,0.921047083,0.921047083,0.921047083,0.921047083
68,0.301811886,0.364119327,0.000245479,0.920354249,0.920354249,0.920354249,0.920354249
69,0.294519174,0.405123286,0.000232087,0.911407657,0.911407657,0.911407657,0.911407657
70,0.305262015,0.356190218,0.000218958,0.925927042,0.925927042,0.925927042,0.925927042
71,0.292802341,0.357746462,0.000206107,0.924661867,0.924661867,0.924661867,0.924661867
72,0.296107496,0.372841246,0.000193546,0.919571046,0.919571046,0.919571046,0.919571046
73,0.301598602,0.38076795,0.000181288,0.926047534,0.926047534,0.926047534,0.926047534
74,0.300358971,0.348705877,0.000169344,0.927162093,0.927162093,0.927162093,0.927162093
75,0.286714487,0.359746123,0.000157726,0.927372955,0.927372955,0.927372955,0.927372955
76,0.291424029,0.376733167,0.000146447,0.924481128,0.924481128,0.924481128,0.924481128
77,0.308077096,0.349455798,0.000135516,0.928306775,0.928306775,0.928306775,0.928306775
78,0.298127196,0.371393909,0.000124944,0.928487514,0.928487514,0.928487514,0.928487514
79,0.288189808,0.378248421,0.000114743,0.927282586,0.927282586,0.927282586,0.927282586
80,0.295731221,0.368120933,0.000104922,0.927433202,0.927433202,0.927433202,0.927433202
81,0.294154565,0.376056222,9.55E-05,0.92779468,0.92779468,0.92779468,0.92779468
82,0.279167846,0.398905273,8.65E-05,0.928758623,0.928758623,0.928758623,0.928758623
83,0.292947563,0.379521789,7.78E-05,0.929692442,0.929692442,0.929692442,0.929692442
84,0.287718937,0.377756213,6.96E-05,0.929210471,0.929210471,0.929210471,0.929210471
85,0.281881114,0.368108417,6.18E-05,0.930204537,0.930204537,0.930204537,0.930204537
86,0.28323554,0.379630886,5.45E-05,0.928186282,0.928186282,0.928186282,0.928186282
87,0.28184172,0.352142504,4.76E-05,0.927583818,0.927583818,0.927583818,0.927583818
88,0.278420198,0.361773323,4.11E-05,0.926740368,0.926740368,0.926740368,0.926740368
89,0.286858277,0.343529207,3.51E-05,0.928065789,0.928065789,0.928065789,0.928065789
90,0.288311175,0.358918415,2.96E-05,0.928788746,0.928788746,0.928788746,0.928788746
91,0.286273884,0.362185265,2.45E-05,0.929692442,0.929692442,0.929692442,0.929692442
92,0.283823675,0.357500264,1.99E-05,0.92713197,0.92713197,0.92713197,0.92713197
93,0.288068933,0.349878025,1.57E-05,0.927583818,0.927583818,0.927583818,0.927583818
94,0.28349607,0.350380912,1.20E-05,0.928367021,0.928367021,0.928367021,0.928367021
95,0.286625001,0.36254226,8.86E-06,0.928758623,0.928758623,0.928758623,0.928758623
96,0.289294125,0.352466798,6.16E-06,0.927704311,0.927704311,0.927704311,0.927704311
97,0.280191459,0.372010975,3.94E-06,0.930355153,0.930355153,0.930355153,0.930355153
98,0.284002517,0.387150876,2.22E-06,0.930776877,0.930776877,0.930776877,0.930776877
99,0.275218588,0.353689525,9.87E-07,0.929270717,0.929270717,0.929270717,0.929270717
100,0.284091978,0.368047842,2.47E-07,0.929210471,0.929210471,0.929210471,0.929210471
